,pick,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
79,16,So,Chuma Okeke,69.0,11.0,16.6,12.6,5.5,3.7,26.8,0.574,0.388
80,34,Sr,Cleanthony Early,68.5,5.6,19.0,6.1,3.4,1.7,46.0,0.579,0.376
81,7,Fr,Coby White,69.2,1.3,11.4,24.4,1.3,2.0,29.3,0.502,0.35200000000000004
82,36,Sr,Cody Martin,86.1,3.0,11.1,25.6,2.3,2.2,32.6,0.5760000000000001,0.358
83,4,So,Cody Zeller,73.3,12.4,18.7,9.4,4.4,2.1,73.2,0.565,0.0
84,11,Jr,Cole Aldrich,66.4,13.6,25.4,5.8,13.0,1.6,60.0,0.562,0.0
85,15,Fr,Cole Anthony,57.2,1.4,16.4,23.9,0.9,2.1,37.1,0.402,0.348
86,8,Fr,Collin Sexton,68.6,4.0,9.7,27.8,0.3,1.6,57.5,0.495,0.336
87,53,Sr,Colton Iverson,74.7,13.2,26.4,10.0,2.8,0.9,73.9,0.589,0.0
88,60,Sr,Cory Jefferson,72.3,11.3,20.9,7.7,4.6,0.8,56.6,0.508,0.378
89,29,Fr,Cory Joseph,80.4,2.2,9.5,17.3,0.9,1.9,22.7,0.429,0.413
90,22,Sr,Courtney Lee,74.3,5.4,14.0,15.5,3.0,3.3,34.3,0.493,0.399
91,21,Jr,Craig Brackins,86.5,6.6,19.4,13.1,3.3,1.3,33.7,0.446,0.31
92,2,Fr,D'Angelo Russell,84.3,3.6,15.4,30.1,1.1,2.8,30.3,0.479,0.411
93,9,So,D.J. Augustin,94.0,1.5,6.9,30.6,0.0,1.9,40.7,0.472,0.381
94,29,Sr,D.J. White,82.8,11.3,24.0,5.2,5.4,1.4,57.7,0.607,0.333
95,17,So,D.J. Wilson,75.2,6.7,16.3,8.5,5.2,1.0,19.7,0.631,0.373
96,42,Sr,Da'Sean Butler,87.9,5.0,15.4,19.2,1.3,1.7,42.3,0.452,0.354
97,35,Jr,DaJuan Summers,72.4,5.3,11.5,9.7,2.5,2.4,47.1,0.552,0.385
98,48,So,Dakari Johnson,40.3,13.4,19.1,8.9,6.1,1.4,92.3,0.506,0.0
99,30,Jr,Damian Jones,65.1,9.9,17.3,10.2,5.9,0.5,53.8,0.595,0.0
100,6,Jr,Damian Lillard,87.2,1.9,14.1,28.0,0.7,2.5,51.4,0.504,0.396
101,24,Sr,Damion James,74.8,11.0,23.9,6.1,3.6,3.0,54.9,0.535,0.383
102,44,Sr,Damyean Dotson,85.4,5.0,18.2,6.9,0.6,1.6,12.3,0.505,0.443
103,38,So,Daniel Gafford,67.0,11.2,22.7,6.0,8.4,1.8,59.8,0.659,0.0
104,56,So,Daniel Hamilton,79.0,3.5,26.8,29.0,1.5,2.0,24.3,0.416,0.331
105,33,So,Daniel Oturu,84.2,12.0,23.3,7.6,7.1,1.0,42.8,0.59,0.365
106,46,Sr,Danny Green,68.6,6.8,10.3,16.3,4.4,3.4,15.5,0.508,0.414
107,33,Sr,Dante Cunningham,78.6,9.5,17.0,8.8,4.8,2.2,38.3,0.527,0.0
108,37,Jr,Darington Hobson,83.3,7.0,24.6,29.3,1.6,2.2,45.3,0.465,0.361
109,55,Sr,Darius Johnson-Odom,80.0,2.3,9.2,17.7,0.4,1.6,35.1,0.493,0.385
110,46,Sr,Darius Miller,65.2,4.3,7.3,14.3,1.2,1.9,22.8,0.569,0.376
111,41,So,Darius Morris,86.4,3.3,10.9,43.9,0.1,1.9,37.4,0.531,0.246
112,52,Sr,Darnell Jackson,60.4,10.2,20.8,8.2,2.1,1.8,55.3,0.635,0.333
113,27,So,Darrell Arthur,61.4,12.1,17.0,6.7,6.2,1.1,27.5,0.556,0.16699999999999998
114,21,Sr,Darren Collison,78.5,1.9,7.9,28.4,0.5,3.1,36.6,0.5579999999999999,0.394
115,38,Sr,Darrun Hilliard,69.4,2.0,10.7,15.9,1.3,3.8,26.7,0.5,0.387
116,32,Sr,Davon Reed,87.9,2.9,13.1,14.4,1.5,2.3,29.0,0.474,0.397
117,5,Fr,De'Aaron Fox,69.8,2.1,12.2,28.6,0.7,2.7,47.1,0.52,0.246
118,4,So,De'Andre Hunter,80.4,5.6,13.4,13.0,2.4,1.2,39.8,0.55,0.438
119,46,Fr,De'Anthony Melton,67.3,6.0,13.6,22.5,3.9,4.1,47.2,0.51,0.284
120,35,Fr,DeAndre Jordan,48.1,11.0,22.0,4.4,6.5,0.5,65.0,0.605,0.0
121,53,Jr,DeAndre Liggins,78.8,2.2,11.8,14.2,2.3,2.3,39.8,0.442,0.391
122,21,Jr,DeAndre' Bembry,92.8,4.3,18.0,24.1,2.5,2.2,35.8,0.5529999999999999,0.266
123,37,So,DeJuan Blair,64.5,23.7,27.6,9.3,3.6,3.5,44.7,0.584,0.0
124,9,Fr,DeMar DeRozan,82.8,9.3,11.6,9.6,1.2,1.6,40.1,0.562,0.16699999999999998
125,5,Fr,DeMarcus Cousins,58.2,19.9,24.9,9.2,7.5,2.4,72.6,0.565,0.16699999999999998
126,27,Sr,DeMarre Carroll,70.0,9.3,18.6,15.2,2.4,3.1,43.3,0.579,0.364
127,50,Sr,DeVon Hardin,53.5,9.4,26.4,5.3,5.9,1.4,74.6,0.5539999999999999,0.0
128,1,Fr,Deandre Ayton,82.5,13.5,28.2,10.2,6.1,1.0,42.4,0.635,0.343
129,21,So,Deandre Bembry,95.0,4.6,18.7,24.4,2.7,3.1,34.7,0.484,0.327
130,37,Jr,Deandre Daniels,68.4,6.3,16.8,3.6,5.2,1.4,22.2,0.491,0.417
131,29,Fr,Dejounte Murray,82.2,4.1,13.7,25.7,0.8,2.8,34.2,0.457,0.28800000000000003
132,20,Sr,Delon Wright,83.7,4.1,13.6,32.8,3.2,3.9,57.1,0.5489999999999999,0.35600000000000004
133,45,Jr,Demetrius Jackson,87.1,3.1,7.9,25.1,0.8,2.1,32.5,0.525,0.331
134,9,Fr,"Dennis Smith, Jr.",86.4,2.7,11.5,34.2,1.2,3.1,47.6,0.509,0.359
135,14,Sr,Denzel Valentine,72.5,3.0,21.1,45.8,0.7,1.9,21.4,0.481,0.444
136,59,Sr,Deron Washington,81.6,6.9,15.6,14.2,2.1,1.7,62.0,0.451,0.269
137,40,Jr,Derrick Brown,71.7,10.2,13.9,14.8,2.9,1.4,40.0,0.523,0.414
138,58,Jr,Derrick Caracter,53.9,12.0,21.7,9.0,3.6,2.1,45.6,0.585,0.267
139,3,Fr,Derrick Favors,69.2,12.5,20.2,7.3,7.8,1.8,47.6,0.617,0.0
140,1,Fr,Derrick Rose,72.5,5.0,11.7,30.4,1.3,2.3,47.0,0.521,0.337
141,29,Sr,Derrick White,81.6,3.5,10.7,28.3,4.8,2.2,43.5,0.57,0.401
142,2,So,Derrick Williams,74.1,11.8,21.9,8.7,2.3,1.9,87.1,0.601,0.568
143,58,Jr,Deshaun Thomas,88.1,5.8,14.0,8.6,1.0,0.9,28.9,0.501,0.344
144,30,Sr,Desmond Bane,89.6,4.6,16.6,26.0,1.6,2.4,13.3,0.45,0.439
145,13,Fr,Devin Booker,51.9,2.6,7.8,10.9,0.3,1.3,22.3,0.527,0.411
146,43,So,Devin Ebanks,75.1,9.5,18.0,14.7,2.2,1.9,48.3,0.495,0.1
147,11,So,Devin Vassell,69.0,5.2,15.4,11.2,4.1,2.8,22.1,0.532,0.415
148,53,Sr,Devon Hall,79.9,1.4,14.9,19.6,0.6,1.8,29.2,0.472,0.4320000000000001
149,34,Sr,Devonte' Graham,94.2,2.0,9.6,31.4,0.1,2.4,40.6,0.392,0.406
150,59,So,Dewan Huell,64.0,9.3,20.9,3.4,4.1,1.1,40.4,0.583,0.0
151,32,Sr,Dexter Pittman,47.1,16.6,15.3,5.1,8.9,1.0,63.1,0.654,0.0
152,31,Fr,Deyonta Davis,46.1,13.6,19.0,7.5,10.2,0.8,19.1,0.598,0.0
153,40,Fr,Diamond Stone,55.1,13.0,15.3,4.1,7.2,1.3,44.6,0.568,0.0
154,45,Jr,Dillon Brooks,56.9,4.7,9.9,23.0,2.0,2.5,29.6,0.526,0.404
155,4,So,Dion Waiters,60.0,2.4,8.2,21.2,1.5,4.6,33.1,0.529,0.363
156,11,So,Domantas Sabonis,79.9,11.6,28.2,11.4,2.7,1.1,51.3,0.615,0.35700000000000004
157,25,Jr,Dominique Jones,92.0,3.6,14.9,24.4,1.6,2.8,57.2,0.521,0.311
158,13,So,Donovan Mitchell,80.1,3.7,12.9,16.0,1.7,3.7,24.3,0.463,0.354
159,17,So,Donte DiVincenzo,72.5,4.9,13.8,20.0,0.7,2.1,27.4,0.575,0.401
160,28,Fr,Donte Greene,89.2,5.4,15.6,10.6,4.8,2.0,25.5,0.4920000000000001,0.345
161,42,So,Doron Lamb,78.1,1.5,7.7,8.8,0.2,0.9,40.4,0.481,0.466
162,11,Sr,Doug McDermott,84.4,6.4,17.8,11.5,0.5,0.4,32.9,0.5670000000000001,0.449
163,35,Sr,Draymond Green,82.8,8.2,28.5,24.2,3.4,2.7,36.7,0.473,0.388
164,40,So,Dwayne Bacon,72.0,4.0,11.9,11.6,0.4,1.9,28.2,0.516,0.333
165,60,Sr,Dwayne Collins,54.6,14.3,21.6,10.5,5.1,1.5,74.8,0.612,0.0
166,45,Sr,Dwight Powell,80.8,7.3,17.3,20.4,2.8,2.4,55.7,0.485,0.256
167,26,Sr,Dylan Windler,83.7,6.8,27.2,13.4,1.7,2.4,30.5,0.66,0.425
168,55,Sr,E'Twaun Moore,84.4,5.1,12.5,20.9,1.6,2.2,28.5,0.473,0.4
169,14,Jr,Earl Clark,85.4,9.1,18.7,18.2,4.1,1.7,31.4,0.493,0.326
170,13,So,Ed Davis,43.0,10.8,24.2,6.8,9.5,0.9,68.8,0.578,0.0
171,52,So,Edmond Sumner,45.6,1.8,13.5,30.3,2.7,2.3,64.5,0.5329999999999999,0.273
172,14,Fr,Edrice Adebayo,75.1,11.2,17.2,4.7,4.9,1.2,83.1,0.601,0.0
173,6,Jr,Ekpe Udoh,88.0,12.8,17.6,14.7,11.0,1.4,41.4,0.4970000000000001,0.269
174,10,Jr,Elfrid Payton,90.2,7.2,12.0,32.3,1.5,3.6,64.6,0.534,0.259
175,39,Jr,Elijah Hughes,91.1,1.3,13.3,20.1,2.9,1.8,35.8,0.508,0.342
176,22,So,Elliot Williams,83.3,2.7,11.3,24.0,0.4,2.4,66.0,0.527,0.366
177,18,Fr,Eric Bledsoe,73.1,2.0,8.6,16.8,1.1,2.6,39.4,0.516,0.383
178,7,Fr,Eric Gordon,83.1,2.6,8.0,15.2,2.0,2.3,65.2,0.525,0.337
179,20,Sr,Eric Maynor,88.0,1.6,10.0,40.8,0.5,2.9,45.3,0.516,0.361
180,41,Sr,Eric Paschall,89.3,4.2,16.0,12.9,1.6,1.2,41.5,0.532,0.348
181,46,Sr,Erick Green,89.7,1.4,10.6,27.0,0.6,2.1,48.5,0.509,0.389
182,49,Sr,Erik Murphy,64.3,7.8,17.4,11.0,3.1,1.5,16.0,0.579,0.453
183,2,Jr,Evan Turner,74.4,7.4,23.5,37.5,2.9,3.0,39.8,0.54,0.364
184,22,So,Fab Melo,51.4,12.3,13.5,5.0,13.0,1.2,34.7,0.5660000000000001,0.0
185,30,Sr,Festus Ezeli,41.4,13.0,17.4,2.9,9.0,1.1,84.2,0.539,0.0
186,31,Fr,Frank Jackson,60.5,3.1,8.2,12.6,0.2,1.3,36.3,0.539,0.395
187,9,Sr,Frank Kaminsky,81.4,6.0,25.7,18.4,4.5,1.7,41.0,0.581,0.416
188,34,So,Frank Mason,83.5,2.2,10.4,24.7,0.3,2.5,41.2,0.446,0.429
189,34,Sr,Frank Mason III,89.4,2.0,10.4,26.1,0.2,2.0,48.4,0.5,0.471
190,46,Jr,Gani Lawal,64.6,13.2,21.7,3.6,5.7,1.0,68.2,0.525,0.0
191,19,So,Gary Harris,73.7,4.0,10.2,16.8,1.6,3.4,31.2,0.507,0.35200000000000004
192,37,Fr,Gary Trent Jr.,83.8,2.9,10.3,6.8,0.4,2.0,22.7,0.43,0.402
193,26,Jr,George Hill,86.6,5.5,18.7,26.2,1.7,3.0,62.8,0.5710000000000001,0.433
194,59,Sr,George King,70.5,7.2,23.2,8.2,2.6,1.1,27.3,0.494,0.395
195,50,Sr,Georges Niang,82.1,4.8,15.6,19.2,1.8,1.5,23.0,0.605,0.392
196,12,Jr,Gerald Henderson,74.1,4.7,14.4,18.0,2.4,2.4,39.7,0.49,0.336
197,35,Jr,Glen Rice,50.4,8.0,18.8,19.1,3.3,2.8,29.6,0.541,0.333
198,40,So,Glenn Robinson III,80.1,6.0,11.5,7.6,1.0,1.9,30.8,0.562,0.306
199,50,Sr,Goran Suton,56.3,12.8,23.9,11.9,2.2,2.6,33.5,0.5429999999999999,0.438
200,9,So,Gordon Hayward,81.2,7.6,23.4,12.1,2.8,2.0,57.9,0.5920000000000001,0.294
201,21,Jr,Gorgui Dieng,63.1,12.9,22.1,12.3,9.4,2.6,47.9,0.534,0.0
202,40,Fr,Grant Jerrett,43.1,7.6,16.4,5.7,5.8,1.6,14.3,0.413,0.405
