RK	PLAYER	TEAM	CONF	MIN%	OR	DR	AST	BLK	STL	FTR	2P	3P
125	Fr	6-0	Austin Inge	Navy	Pat	45.6	0.7	7.3	12.5	0.0	3.4	42.1	14-34	.412	7-23	.304
126	Jr	6-9	Austin Phyfe	Northern Iowa	MVC	68.0	9.3	23.3	20.9	2.9	0.6	35.7	115-189	.608	8-24	.333
127	Sr	6-5	Austin Reaves	Oklahoma	B12	78.7	2.8	15.1	27.0	1.0	1.5	54.1	107-209	.512	32-105	.305
128	Jr	6-6	Austin Richie	Tulsa	Amer	44.3	1.0	10.5	4.1	0.7	0.5	9.2	13-26	.500	32-93	.344
129	Jr	6-5	Austin Smellie	Idaho St.	BSky	85.5	2.9	9.6	6.9	0.2	1.1	52.8	18-39	.462	19-67	.284
130	Sr	6-7	Austin Trice	Old Dominion	CUSA	48.8	14.4	21.4	5.6	4.6	2.2	44.9	73-147	.497	0-0	.000
131	Sr	6-4	Austin Williams	Hartford	AE	79.9	4.3	17.9	12.0	1.4	2.1	38.0	101-173	.584	23-72	.319
132	So	6-3	Avery Anderson III	Oklahoma St.	B12	67.1	1.8	12.2	12.5	1.1	2.7	38.1	97-186	.522	19-58	.328
133	Sr	6-8	Avery Sullivan	Lamar	Slnd	80.4	7.1	18.3	5.4	1.9	1.5	46.8	97-219	.443	0-3	.000
134	Sr	6-0	Ayo Akinwole	Nebraska Omaha	Sum	76.9	1.7	11.6	19.8	0.1	1.6	31.1	71-135	.526	41-90	.456
135	Jr	6-5	Ayo Dosunmu	Illinois	B10	78.4	3.9	15.8	29.2	0.6	1.8	33.3	178-347	.513	32-83	.386
136	Fr	6-11	Azuolas Tubelis	Arizona	P12	66.1	11.3	19.4	9.8	2.6	1.3	46.3	102-189	.540	13-42	.310
137	So	6-0	B. Artis White	Western Michigan	MAC	71.0	1.9	11.8	17.0	0.6	1.7	20.5	37-74	.500	53-126	.421
138	So	6-0	B.J. Greenlee	Florida Atlantic	CUSA	77.0	2.2	10.4	17.5	0.4	2.4	22.2	34-83	.410	30-75	.400
139	Sr	6-7	Babacar Thiombane	Idaho	BSky	40.6	7.5	13.7	7.8	3.8	2.1	68.6	15-37	.405	4-14	.286
140	Sr	6-5	Bailey Patella	Vermont	AE	44.1	2.9	16.6	13.4	3.3	3.4	30.2	18-26	.692	9-27	.333
141	So	7-1	Balsa Koprivica	Florida St.	ACC	46.4	13.6	19.5	7.7	8.0	0.9	41.5	87-146	.596	1-1	1.000
142	So	6-6	Baylor Scheierman	South Dakota St.	Sum	88.9	1.8	27.5	20.3	0.6	1.7	29.3	60-107	.561	55-125	.440
143	Fr	6-9	Bayron Matos	New Mexico	MWC	41.5	10.7	12.3	2.7	2.6	0.7	54.4	41-79	.519	0-0	.000
144	Sr	6-7	Ben Coupet Jr.	Little Rock	SB	80.6	4.0	9.6	12.5	1.0	2.0	34.5	43-80	.537	43-114	.377
145	So	6-5	Ben Harvey	Southern Illinois	MVC	58.0	1.8	17.8	14.2	0.6	1.8	33.0	52-112	.464	28-73	.384
146	So	6-9	Ben Krikke	Valparaiso	MVC	71.8	5.8	11.1	9.0	3.4	0.9	25.8	123-224	.549	8-28	.286
147	So	6-5	Ben Lubarsky	American	Pat	45.2	2.7	8.7	11.4	0.5	1.6	13.0	6-19	.316	10-27	.370
148	Jr	6-7	Ben Pyle	San Diego	WCC	55.9	2.3	13.0	17.4	1.3	1.2	17.8	9-29	.310	15-44	.341
149	So	6-5	Ben Roderick	Ohio	MAC	63.3	2.7	10.6	6.0	0.8	1.3	13.6	50-82	.610	55-139	.396
150	So	6-6	Ben Sheppard	Belmont	OVC	63.0	4.4	12.8	13.2	0.6	2.1	17.6	68-107	.636	38-114	.333
151	Sr	6-2	Ben Shungu	Vermont	AE	73.0	2.3	15.9	23.0	1.1	1.6	55.1	36-64	.563	13-43	.302
152	Jr	6-8	Ben Vander Plas	Ohio	MAC	84.8	2.7	16.9	18.5	1.8	2.4	19.4	60-112	.536	50-140	.357
153	Fr	6-9	Ben Wight	William & Mary	CAA	43.8	10.7	10.4	6.9	2.4	2.4	43.6	24-45	.533	2-10	.200
154	Fr	6-7	Bennedict Mathurin	Arizona	P12	61.9	5.8	16.3	9.2	0.3	1.6	41.7	50-96	.521	38-91	.418
155	Sr	6-2	Bentiu Panoam	North Dakota	Sum	42.1	0.8	11.4	8.4	0.9	1.4	50.4	19-48	.396	29-69	.420
156	Jr	6-4	Berrick JeanLouis	Iona	MAAC	78.1	5.5	14.4	10.6	4.7	4.1	25.6	39-71	.549	17-46	.370
157	Sr	6-7	Bitumba Baruti	East Carolina	Amer	54.9	5.5	13.4	8.5	3.6	2.5	20.8	24-54	.444	15-47	.319
158	Fr	6-1	Biwali Bayles	Hawaii	BW	54.1	5.7	12.4	22.0	0.5	1.0	26.7	28-70	.400	14-35	.400
159	Sr	6-0	Blake Francis	Richmond	A10	73.8	1.1	7.4	12.9	0.0	2.5	19.7	64-134	.478	46-130	.354
160	Jr	6-3	Blake Harris	North Carolina A&T	MEAC	43.0	2.5	10.6	16.3	0.0	2.7	41.3	34-93	.366	12-33	.364
161	So	6-9	Blake Preston	Liberty	ASun	46.4	13.9	28.2	15.2	3.0	1.6	56.9	84-142	.592	0-2	.000
162	Jr	6-1	Blaze Nield	Utah Valley	WAC	58.1	0.5	5.6	23.2	0.0	1.8	40.0	9-21	.429	14-39	.359
163	Fr	6-2	Blondeau Tchoukuiengo	New Hampshire	AE	69.0	2.9	10.4	24.4	0.5	2.1	36.6	34-77	.442	10-35	.286
164	Fr	6-5	Bo Montgomery	Holy Cross	Pat	43.6	2.8	4.7	12.8	1.1	2.6	14.7	22-50	.440	6-25	.240
165	Jr	6-8	Bobby Planutis	Fort Wayne	Horz	69.4	3.2	11.2	8.8	0.8	1.2	34.2	27-45	.600	46-101	.455
166	Jr	6-6	Bodie Hume	Northern Colorado	BSky	81.7	5.1	20.1	7.1	3.2	2.3	37.3	52-102	.510	48-123	.390
167	So	6-2	Boo Buie	Northwestern	B10	67.1	0.9	8.3	29.9	0.2	1.3	25.4	39-103	.379	38-106	.358
168	So	6-3	Boogie Ellis	Memphis	Amer	58.4	1.4	8.5	12.8	1.1	2.5	28.3	44-105	.419	51-132	.386
169	So	6-7	Borja Fernandez	Montana St.	BSky	45.6	5.8	17.1	6.1	0.3	0.9	14.1	26-53	.491	12-39	.308
170	Jr	6-6	Both Gach	Minnesota	B10	56.1	2.1	15.5	17.1	0.3	1.5	31.1	46-91	.505	21-76	.276
171	Fr	5-11	Bowen Born	Northern Iowa	MVC	76.1	1.6	8.3	14.9	0.0	1.5	29.4	39-97	.402	42-117	.359
172	Sr	6-8	Brachen Hazen	Ball St.	MAC	51.4	9.2	17.3	11.6	2.4	1.9	42.7	66-125	.528	8-25	.320
173	Sr	6-4	Brad Davison	Wisconsin	B10	76.8	1.3	12.3	14.7	0.0	2.1	28.7	28-103	.272	63-162	.389
174	Sr	6-11	Brad Greene	UC Irvine	BW	57.6	12.6	25.0	8.3	9.8	1.4	21.4	101-194	.521	0-2	.000
175	Jr	6-7	Braden Bell	Marist	MAAC	58.1	4.5	18.0	10.0	2.3	1.7	12.9	33-66	.500	24-74	.324
176	So	6-0	Braden Norris	Loyola Chicago	MVC	78.4	0.9	10.9	18.4	0.6	1.4	25.8	26-55	.473	53-131	.405
177	Sr	6-9	Brady Manek	Oklahoma	B12	57.3	5.6	16.9	6.7	3.3	1.2	12.6	53-110	.482	48-128	.375
178	So	7-0	Branden Carlson	Utah	P12	58.0	5.7	17.9	6.0	7.9	0.5	25.8	88-158	.557	10-20	.500
179	Sr	5-11	Brandon Averette	BYU	WCC	68.4	1.7	9.0	24.4	0.4	1.7	15.8	75-146	.514	39-113	.345
180	Sr	6-8	Brandon Battle	Alabama St.	SWAC	67.6	11.1	20.2	6.6	1.0	1.7	59.8	78-164	.476	0-0	.000
181	Fr	6-7	Brandon Boston Jr.	Kentucky	SEC	75.9	4.7	11.1	11.3	0.5	2.5	22.4	73-190	.384	30-100	.300
182	Jr	6-2	Brandon Davis	Sacramento St.	BSky	54.6	3.8	9.3	19.5	0.8	2.7	22.0	23-66	.348	13-34	.382
183	Sr	6-10	Brandon Horvath	UMBC	AE	80.8	8.6	20.1	12.5	1.3	1.1	30.3	76-138	.551	18-60	.300
184	Sr	6-10	Brandon Huffman	Jacksonville St.	OVC	44.9	12.5	26.6	3.1	7.8	0.5	41.7	104-175	.594	0-0	.000
185	Sr	6-8	Brandon Johnson	Minnesota	B10	61.4	8.4	17.9	5.4	2.6	1.8	55.1	68-123	.553	14-55	.255
186	Sr	6-5	Brandon Mahan	UCF	Amer	72.8	3.8	14.2	12.8	1.0	2.1	35.6	42-91	.462	39-89	.438
187	Sr	6-3	Brandon McKissic	UMKC	Sum	74.1	2.4	12.4	23.7	0.5	2.8	26.2	87-159	.547	30-70	.429
188	Fr	6-5	Brandon Newman	Purdue	B10	58.6	2.0	15.2	10.9	2.2	1.9	16.3	39-93	.419	39-103	.379
189	Jr	6-2	Brandon Powell	Fairleigh Dickinson	NEC	53.6	3.3	13.8	15.0	0.8	3.4	36.6	24-73	.329	22-91	.242
190	Sr	6-6	Brandon Rachal	Tulsa	Amer	81.5	6.2	18.8	15.7	3.3	2.8	33.7	80-158	.506	30-97	.309
191	So	6-3	Brandon Rush	Fairleigh Dickinson	NEC	70.5	2.8	12.4	8.4	1.3	1.9	18.4	64-117	.547	56-133	.421
192	Jr	6-6	Brandon Slater	Villanova	BE	41.9	6.5	9.0	5.0	1.7	2.8	44.1	23-44	.523	10-24	.417
193	Fr	6-6	Brandon Stroud	Kennesaw St.	ASun	58.2	6.6	24.7	11.5	0.4	2.0	31.0	30-70	.429	10-43	.233
194	So	6-6	Brandon Suggs	East Carolina	Amer	59.9	4.3	15.0	17.8	2.7	2.0	53.3	40-85	.471	12-37	.324
195	So	6-3	Brandon Swaby	Incarnate Word	Slnd	70.1	3.7	10.0	8.7	0.0	2.0	27.9	21-44	.477	27-60	.450
